goi	ten	tac_gia	license	gia	tag	cach_lay
actuallykron/free-emoji-pack	64 FREE Emoji Asset Pack	actuallykron	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs actuallykron/free-emoji-pack  (o repo quoc-chien)
markgosbell/classic-dungeon-map-symbols	Classic Dungeon Map Symbols	markgosbell	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs markgosbell/classic-dungeon-map-symbols  (o repo quoc-chien)
newc-42/medieval-fantasy-16-x-16-pixel-art-items	Medieval & Fantasy Pixel Art Items	newc-42	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs newc-42/medieval-fantasy-16-x-16-pixel-art-items  (o repo quoc-chien)
atari-boy/dark-forest-platform-pack	Dark Forest Platform Pack	atari-boy	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs atari-boy/dark-forest-platform-pack  (o repo quoc-chien)
wenrexa/space-full-assets-pack	Assets Free: Space Modular Buildings	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/space-full-assets-pack  (o repo quoc-chien)
goncalomcoliveira/pixel-patterns	FREE - "Pixel Patterns" - 16x16 + 32x32 Pixel-Art Patterns	goncalomcoliveira	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs goncalomcoliveira/pixel-patterns  (o repo quoc-chien)
fliflifly/hearts-and-health-bar	Hearts and health bar	fliflifly	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs fliflifly/hearts-and-health-bar  (o repo quoc-chien)
momongaa/metrovania-style-2d-platform-game-asset	Metrovania Style 2D platformer barbarian character assets	momongaa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs momongaa/metrovania-style-2d-platform-game-asset  (o repo quoc-chien)
spriteshift/morning-adventures-tileset	Morning Adventures Tileset	spriteshift	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs spriteshift/morning-adventures-tileset  (o repo quoc-chien)
alexs-assets/16x16-rpg-item-pack-2	16x16 RPG Item Pack 2	alexs-assets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs alexs-assets/16x16-rpg-item-pack-2  (o repo quoc-chien)
markgosbell/50-free-nature-assets-flat-greyscale	50 Free Nature Assets Flat Greyscale	markgosbell	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs markgosbell/50-free-nature-assets-flat-greyscale  (o repo quoc-chien)
pigeonivy/tiny-speech-indicators	tiny speech indicators (animated)	pigeonivy	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs pigeonivy/tiny-speech-indicators  (o repo quoc-chien)
caz-bee/bat	Bat	caz-bee	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs caz-bee/bat  (o repo quoc-chien)
goncalomcoliveira/industrial-punk	FREE - "Industrial Punk" - 16x16 Side-Scroller Tileset	goncalomcoliveira	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs goncalomcoliveira/industrial-punk  (o repo quoc-chien)
stealthix/1-bit-rpg-tileset	1-Bit RPG Tileset 32x32 Pixels	stealthix	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs stealthix/1-bit-rpg-tileset  (o repo quoc-chien)
karsiori/spruce-tree-pack-pixel-art-animated	FREE Pixel Art Spruce Tree Pack - Animated	karsiori	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs karsiori/spruce-tree-pack-pixel-art-animated  (o repo quoc-chien)
thkaspar/minimal-hex-tileset	Minimal Hex Tileset	thkaspar	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs thkaspar/minimal-hex-tileset  (o repo quoc-chien)
tiopalada/tiny-rpg-dragon-regalia-gui	Tiny RPG - Dragon Regalia GUI	tiopalada	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs tiopalada/tiny-rpg-dragon-regalia-gui  (o repo quoc-chien)
atari-boy/snow-platform-pack	Snow Platform Pack	atari-boy	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs atari-boy/snow-platform-pack  (o repo quoc-chien)
wenrexa/darkmiko	Assets Free Interface UI Dark Miko	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/darkmiko  (o repo quoc-chien)
ggbot/pixelzone-font	Pixelzone Font - CC0	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/pixelzone-font  (o repo quoc-chien)
luizmelo/dark-knight-2	Dark Knight 2	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$12.90	2d	node tools/tai_itch.mjs luizmelo/dark-knight-2  (o repo quoc-chien)
foozlecc/cave-and-desert-tileset	Cave and Desert Tileset	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/cave-and-desert-tileset  (o repo quoc-chien)
wenrexa/abstractbq	Assets Free Abstract Backgrounds [+202]	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/abstractbq  (o repo quoc-chien)
btl-games/lsd-dreamy-texture-pack	LSD Dreamy texture pack	btl-games	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs btl-games/lsd-dreamy-texture-pack  (o repo quoc-chien)
wenrexa/cursors-pack-03	Assets: Cursors Pack 3 [RPG, RTS, MMO, TPS]	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/cursors-pack-03  (o repo quoc-chien)
binbun3d/fluid-glass-ui	Godot Fluid Glass UI	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs binbun3d/fluid-glass-ui  (o repo quoc-chien)
bigbuckbunny/jungle-platformer-assets	Jungle platformer assets	bigbuckbunny	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs bigbuckbunny/jungle-platformer-assets  (o repo quoc-chien)
clastic-artistic/caabstracttextures	Abstract Textures	clastic-artistic	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs clastic-artistic/caabstracttextures  (o repo quoc-chien)
foozlecc/spire-enemy-pack-2	Spire - Enemy Pack 2	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/spire-enemy-pack-2  (o repo quoc-chien)
soulofkiran/pixel-art-wooden-font-v1	Pixel Art Wooden Font v1	soulofkiran	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs soulofkiran/pixel-art-wooden-font-v1  (o repo quoc-chien)
hormelz/8-directional-2d-businessman-character	8 Directional 2D Businessman Character	hormelz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs hormelz/8-directional-2d-businessman-character  (o repo quoc-chien)
screamingbrainstudios/planet-surface-backgrounds-2	Planet Surface Backgrounds 2	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/planet-surface-backgrounds-2  (o repo quoc-chien)
foozlecc/spire-tower-pack-3	Spire - Tower Pack 3	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/spire-tower-pack-3  (o repo quoc-chien)
gibbongl/gboracles-adventure-pack	GB Oracles: Adventure Pack	gibbongl	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$5	2d	node tools/tai_itch.mjs gibbongl/gboracles-adventure-pack  (o repo quoc-chien)
nnda/vintage-tilesets	16x16 Sidescroller Floral Vintage Interior & Exterior Tilesets	nnda	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs nnda/vintage-tilesets  (o repo quoc-chien)
not-jam/haunted-hotel-asset-pack	Haunted Hotel Asset Pack	not-jam	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs not-jam/haunted-hotel-asset-pack  (o repo quoc-chien)
goncalomcoliveira/tiny-tropical-tiles	FREE - "Tiny Tropical Tiles" - 16x16 Platformer Tileset	goncalomcoliveira	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs goncalomcoliveira/tiny-tropical-tiles  (o repo quoc-chien)
luizmelo/ghost-warrior-3	Ghost Warrior 3	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$8	2d	node tools/tai_itch.mjs luizmelo/ghost-warrior-3  (o repo quoc-chien)
jik-a-4/metro	MetroCity - Free External Top Down Environment Asset Pack	jik-a-4	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs jik-a-4/metro  (o repo quoc-chien)
tainara-p/male-character-sprite-creator	Male Character Sprite Creator - Descontinued!	tainara-p	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs tainara-p/male-character-sprite-creator  (o repo quoc-chien)
screamingbrainstudios/tiny-planet-pack	Tiny Planet Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/tiny-planet-pack  (o repo quoc-chien)
ggbot/jupiteroid-font	Jupiteroid Font - CC0	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/jupiteroid-font  (o repo quoc-chien)
spoicat/map-legend-icons-2	Map Legend Icons 2	spoicat	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs spoicat/map-legend-icons-2  (o repo quoc-chien)
spoicat/spofonts	Spofonts	spoicat	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs spoicat/spofonts  (o repo quoc-chien)
henrysoftware/pixel-level-free	Free Pixel Level!	henrysoftware	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs henrysoftware/pixel-level-free  (o repo quoc-chien)
gisha/spaceships-asset-pack	FREE Spaceships Vol. 1	gisha	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs gisha/spaceships-asset-pack  (o repo quoc-chien)
wenrexa/werdanta03	Assets: UI RPG Game Interface [Lite Version]	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$4.08	2d	node tools/tai_itch.mjs wenrexa/werdanta03  (o repo quoc-chien)
karsiori/free-pixel-art-bush-pack	FREE Pixel Art Bush Pack	karsiori	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs karsiori/free-pixel-art-bush-pack  (o repo quoc-chien)
caz-bee/kitty	Kitty	caz-bee	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs caz-bee/kitty  (o repo quoc-chien)
henrysoftware/pixel-level	Pixel Level!	henrysoftware	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$7	2d	node tools/tai_itch.mjs henrysoftware/pixel-level  (o repo quoc-chien)
foozlecc/cute-platformer-robot	Cute Platformer Robot	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/cute-platformer-robot  (o repo quoc-chien)
dogobongocat/ui-inventory-assets-mini-pack	UI inventory assets mini pack	dogobongocat	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs dogobongocat/ui-inventory-assets-mini-pack  (o repo quoc-chien)
overcrafted/cyberpunk-platformer-tileset	Cyberpunk Platformer Tileset	overcrafted	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$9	2d	node tools/tai_itch.mjs overcrafted/cyberpunk-platformer-tileset  (o repo quoc-chien)
styloo/houseinteriorassetpack	house interior asset pack !	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$2.99	2d	node tools/tai_itch.mjs styloo/houseinteriorassetpack  (o repo quoc-chien)
wareya/versatile-255-tile-pixel-art-pack	Versatile 255-Tile Pixel Art Pack	wareya	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wareya/versatile-255-tile-pixel-art-pack  (o repo quoc-chien)
foozlecc/spire-enemy-pack-1	Spire - Enemy Pack 1	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/spire-enemy-pack-1  (o repo quoc-chien)
legends-games/pixel-penguin-32x32-asset-pack	Pixel Penguin 32x32 Asset pack	legends-games	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs legends-games/pixel-penguin-32x32-asset-pack  (o repo quoc-chien)
hochupitsu/heart-and-mana	Pixel Heart and Mana UI	hochupitsu	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs hochupitsu/heart-and-mana  (o repo quoc-chien)
bigbuckbunny/dungeon-assets-pack	Dungeon assets pack	bigbuckbunny	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs bigbuckbunny/dungeon-assets-pack  (o repo quoc-chien)
caz-bee/bread	Bread	caz-bee	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs caz-bee/bread  (o repo quoc-chien)
ggbot/crayon-libre-font	Crayon Libre Font - CC0	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/crayon-libre-font  (o repo quoc-chien)
wenrexa/spacebq2	Assets: Free Space Backgrounds in 10k	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/spacebq2  (o repo quoc-chien)
ggbot/alpha-prota-font	Alpha Prota Font - CC0	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/alpha-prota-font  (o repo quoc-chien)
fightswithbears/2d-health-and-ammo-pickups	2D Health & Ammo Pickups	fightswithbears	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs fightswithbears/2d-health-and-ammo-pickups  (o repo quoc-chien)
caz-bee/cute-fruit-characters	Cute Fruit Character Sprites	caz-bee	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs caz-bee/cute-fruit-characters  (o repo quoc-chien)
foozlecc/spire-tower-pack-2	Spire - Tower Pack 2	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/spire-tower-pack-2  (o repo quoc-chien)
kevins-moms-house/playersprites	playerSprites_	kevins-moms-house	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs kevins-moms-house/playersprites  (o repo quoc-chien)
m039/blue-space-cave-tileset	Space Cave Tileset 16x16	m039	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs m039/blue-space-cave-tileset  (o repo quoc-chien)
luizmelo/ghost-warrior-2	Ghost Warrior 2	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$8	2d	node tools/tai_itch.mjs luizmelo/ghost-warrior-2  (o repo quoc-chien)
rgsdev/hand-drawn-square-characters-animated-8-directions-top-down-free-cc0	Hand-Drawn Square Characters Animated 8 Directions Top Down free cc0	rgsdev	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs rgsdev/hand-drawn-square-characters-animated-8-directions-top-down-free-cc0  (o repo quoc-chien)
joytree-studios/2d-pixel-art-gui-asset-pack-elements	2D Pixel Art GUI Asset Pack Elements	joytree-studios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs joytree-studios/2d-pixel-art-gui-asset-pack-elements  (o repo quoc-chien)
juliocacko/free-super-input-prompt-pack-icons-unreal-unity-godot	FREE Super Input Prompt Icon Pack for PC & Console Games– Compatible with Unreal Engine, Unity & Godot	juliocacko	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs juliocacko/free-super-input-prompt-pack-icons-unreal-unity-godot  (o repo quoc-chien)
murphysdad/sci-fi-facility	Sci-Fi Facility Asset Pack	murphysdad	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs murphysdad/sci-fi-facility  (o repo quoc-chien)
kaboff/mouse-cursors-pack	154 Mouse Cursors - Pack (32x32)	kaboff	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs kaboff/mouse-cursors-pack  (o repo quoc-chien)
screamingbrainstudios/isometric-wall-texture-pack	Isometric Wall Texture Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/isometric-wall-texture-pack  (o repo quoc-chien)
screamingbrainstudios/isometric-chess	2D Chess Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/isometric-chess  (o repo quoc-chien)
foozlecc/green-valley-tileset	Green Valley Tileset	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/green-valley-tileset  (o repo quoc-chien)
gibbongl/gen-2-pokemon-trainer-sprite-and-portraits	Gen 2 Pokémon trainer sprites and portraits	gibbongl	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs gibbongl/gen-2-pokemon-trainer-sprite-and-portraits  (o repo quoc-chien)
luizmelo/fantasy-martial-characters-3	Fantasy Martial Characters 3	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$5	2d	node tools/tai_itch.mjs luizmelo/fantasy-martial-characters-3  (o repo quoc-chien)
blacis/pixel-weapons-mega-pack	Pixel Weapons Megapack	blacis	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs blacis/pixel-weapons-mega-pack  (o repo quoc-chien)
ggbot/digit-tech-font	Digit Tech Font - CC0	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/digit-tech-font  (o repo quoc-chien)
caz-bee/piggy	Piggy	caz-bee	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs caz-bee/piggy  (o repo quoc-chien)
fieraryan/cyberpunk-cityscape-pack	Cyberpunk Cityscape Backgrounds	fieraryan	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs fieraryan/cyberpunk-cityscape-pack  (o repo quoc-chien)
karsiori/pixel-art-chest-pack-animated	FREE Pixel Art Chest Pack - Animated	karsiori	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs karsiori/pixel-art-chest-pack-animated  (o repo quoc-chien)
pixelfight/pixe-art-character-pack	2D Pixel Character 12 Pack! Retro RPG Top-Down Heroes	pixelfight	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$3	2d	node tools/tai_itch.mjs pixelfight/pixe-art-character-pack  (o repo quoc-chien)
tiopalada/spring-monster-pack	Spring Monster Pack	tiopalada	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs tiopalada/spring-monster-pack  (o repo quoc-chien)
caz-bee/blocky-chicken	Blocky Chicken	caz-bee	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs caz-bee/blocky-chicken  (o repo quoc-chien)
stealthix/dungeon-tileset-32x32-px	Dungeon Tileset 32x32 px	stealthix	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs stealthix/dungeon-tileset-32x32-px  (o repo quoc-chien)
verzatiledev/card-deck	Card Deck (CC0)	verzatiledev	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs verzatiledev/card-deck  (o repo quoc-chien)
foozlecc/spire-builder-pack	Spire - Builder Pack	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/spire-builder-pack  (o repo quoc-chien)
tornioduva/tornioduva-card-pack	Tornioduva's simple card asset pack	tornioduva	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs tornioduva/tornioduva-card-pack  (o repo quoc-chien)
foozlecc/spire-tower-pack-1	Spire - Tower Pack 1	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/spire-tower-pack-1  (o repo quoc-chien)
uma-alma/dk-essencials-cave-tiles	D&K Essencials ( Cave Tiles )	uma-alma	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs uma-alma/dk-essencials-cave-tiles  (o repo quoc-chien)
markgosbell/old-school-blue-dungeon-map-symbols	Old School Blue Dungeon Map Symbols	markgosbell	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs markgosbell/old-school-blue-dungeon-map-symbols  (o repo quoc-chien)
foozlecc/sci-fi-lab-mecha-boss	Sci-fi Lab Mecha Boss + Exploding Drone - Pixel Art	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/sci-fi-lab-mecha-boss  (o repo quoc-chien)
kaboff/128-emoji-pixel-art	128+ Emoji Pixel Art (16x16)	kaboff	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs kaboff/128-emoji-pixel-art  (o repo quoc-chien)
wenrexa/nesia03	Assets: UI Sci-Fi Minimalism #03	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$1.80	2d	node tools/tai_itch.mjs wenrexa/nesia03  (o repo quoc-chien)
wenrexa/footage-energy	Assets Free: Video Footage: Explosion Energy 2k	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/footage-energy  (o repo quoc-chien)
screamingbrainstudios/isometric-tiles-crates-pack	Isometric Tiles - Crates Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/isometric-tiles-crates-pack  (o repo quoc-chien)
screamingbrainstudios/domino-pack	2D Dominoes Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/domino-pack  (o repo quoc-chien)
fallenblood/50-sfx	50 sound Fx for Your Game	fallenblood	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs fallenblood/50-sfx  (o repo quoc-chien)
tiopalada/spring-vfx	Spring VFX Pack	tiopalada	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs tiopalada/spring-vfx  (o repo quoc-chien)
morningkingdom/fire-fx-pack-1	Fire Fx Pack - 1	morningkingdom	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs morningkingdom/fire-fx-pack-1  (o repo quoc-chien)
gibbongl/modular-game-boy-houses	Modular Game Boy Houses	gibbongl	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs gibbongl/modular-game-boy-houses  (o repo quoc-chien)
henrysoftware/godot-pixel-items	Godot Pixel Items	henrysoftware	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$7.77	2d	node tools/tai_itch.mjs henrysoftware/godot-pixel-items  (o repo quoc-chien)
foozlecc/sci-fi-lab-cyborg	Sci-fi Lab Cyborg Platformer - Pixel Art	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/sci-fi-lab-cyborg  (o repo quoc-chien)
drxwat/pixel-art-key	Pixel Art Key	drxwat	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs drxwat/pixel-art-key  (o repo quoc-chien)
gibbongl/pico-8-oracles	Pico-8 Oracles	gibbongl	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$2	2d	node tools/tai_itch.mjs gibbongl/pico-8-oracles  (o repo quoc-chien)
foozlecc/spire-tower-pack-4	Spire - Tower Pack 4	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/spire-tower-pack-4  (o repo quoc-chien)
caz-bee/skeleton	Skeleton	caz-bee	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs caz-bee/skeleton  (o repo quoc-chien)
wenrexa/uimobile5	Assets: UI Medieval Interface	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$4.05	2d	node tools/tai_itch.mjs wenrexa/uimobile5  (o repo quoc-chien)
caz-bee/cute-shroom-character-sprite	Cute Shroom Character Sprite	caz-bee	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs caz-bee/cute-shroom-character-sprite  (o repo quoc-chien)
stealthix/pipes-tileset	Pipes Tileset	stealthix	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs stealthix/pipes-tileset  (o repo quoc-chien)
kassjak/20-clouds-pack	20 Clouds Pack	kassjak	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs kassjak/20-clouds-pack  (o repo quoc-chien)
kevins-moms-house/taiga	taiga_	kevins-moms-house	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs kevins-moms-house/taiga  (o repo quoc-chien)
furkanduran/durkans-100-item-pack	Durkan's 100 Item Pack	furkanduran	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs furkanduran/durkans-100-item-pack  (o repo quoc-chien)
