goi	ten	tac_gia	license	gia	tag	cach_lay
adamgamer1111/keyboard-and-controller-icons	48 x 48 Keyboard and controller icons (Golden version + PS4)	adamgamer1111	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$3	2d	node tools/tai_itch.mjs adamgamer1111/keyboard-and-controller-icons  (o repo quoc-chien)
dogobongocat/ui-assets-pack-2	UI assets pack 2 :)	dogobongocat	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs dogobongocat/ui-assets-pack-2  (o repo quoc-chien)
grafxkid/sprite-pack-7	Sprite Pack 7	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/sprite-pack-7  (o repo quoc-chien)
luizmelo/pet-cat-pack	Pet Cats Pack	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/pet-cat-pack  (o repo quoc-chien)
luizmelo/wizard-pack	Wizard Pack	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/wizard-pack  (o repo quoc-chien)
0x72/16x16-dungeon-tileset	16x16 Dungeon Tileset	0x72	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs 0x72/16x16-dungeon-tileset  (o repo quoc-chien)
luizmelo/evil-wizard	Evil Wizard	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/evil-wizard  (o repo quoc-chien)
bakudas/generic-run-n-gun	Generic RUN n' GUN pack	bakudas	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs bakudas/generic-run-n-gun  (o repo quoc-chien)
tiopalada/tiny-rpg-mana-soul-gui	Tiny RPG - Mana Soul GUI	tiopalada	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs tiopalada/tiny-rpg-mana-soul-gui  (o repo quoc-chien)
grafxkid/sprite-pack-6	Sprite Pack 6	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/sprite-pack-6  (o repo quoc-chien)
foozlecc/trap-pack	Pixel Trap Pack - 30 Animated Traps	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/trap-pack  (o repo quoc-chien)
devilsworkshop/isometric-tiles-pixel-art	Isometric Tiles - Pixel Art	devilsworkshop	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs devilsworkshop/isometric-tiles-pixel-art  (o repo quoc-chien)
mattwalkden/free-space-runner-pack	Free Space Runner Pack	mattwalkden	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs mattwalkden/free-space-runner-pack  (o repo quoc-chien)
kronbits/inca-game-assets	Inca Game Assets	kronbits	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs kronbits/inca-game-assets  (o repo quoc-chien)
