id	ten	tac_gia	license	loai	nguon	dinh_dang	tu_khoa	ghi_cong	cach_lay
3d093114-14e1-4882-9634-c3833f6ec6a9	Banner of Kiev Voivodeship (1609-1618)-1	Лобачев Владимир	CC0	illustration	wikimedia	svg	banner	"Banner of Kiev Voivodeship (1609-1618)-1" by Лобачев Владимир is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/a/ac/Banner_of_Kiev_Voivodeship_%281609-1618%29-1.svg"
709ee312-5af6-4af9-8715-a8d1fb0348e8	Dragon Banner	Vectorised by from the description by Robert Jordan	CC0	illustration	wikimedia	svg	banner	"Dragon Banner" by Vectorised by from the description by Robert Jordan is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/c/c1/Dragon_Banner.svg"
fa474a27-3a4e-4e20-afbc-03179ea795a4	Banner of Möngke Temür (1257-1280)	HetmanTheResearcher	CC0	illustration	wikimedia	svg	banner	"Banner of Möngke Temür (1257-1280)" by HetmanTheResearcher is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/b/b6/Banner_of_M%C3%B6ngke_Tem%C3%BCr_%281257-1280%29.svg"
2eb1f85f-656d-4dd2-b0da-65ff17ab5a9a	Banner of West Bengal	Pur 0 0	CC0	illustration	wikimedia	svg	banner	"Banner of West Bengal" by Pur 0 0 is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/2/2f/Banner_of_West_Bengal.svg"
ca769018-26fa-4915-97f4-04bc0a8eddd1	Banner of Lincoln	Ec.Domnowall	CC-BY 3.0	illustration	wikimedia	svg	banner	"Banner of Lincoln" by Ec.Domnowall is licensed under CC BY 3.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/3.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/9/92/Banner_of_Lincoln.svg"
b207ea03-8640-4f1b-a656-03c212be9ffa	Mamluk banner removed from Damascus Citadel 1517 reconstruction	Liptink0This file was derived from: Mameluke Flag.svg	CC0	illustration	wikimedia	svg	banner	"Mamluk banner removed from Damascus Citadel 1517 reconstruction" by Liptink0This file was derived from: Mameluke Flag.svg is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/e/e0/Mamluk_banner_removed_from_Damascus_Citadel_1517_reconstruction.svg"
cde2248b-d6d4-46fa-8af1-489803ca19c7	Banner of the Papal Zouaves	Dahn	CC-BY 4.0	illustration	wikimedia	svg	banner	"Banner of the Papal Zouaves" by Dahn is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/5/55/Banner_of_the_Papal_Zouaves.svg"
3cf0c069-5647-479e-a3ec-9f04380dec81	Traitor's Banner	Mrmw	CC0	illustration	wikimedia	svg	banner	"Traitor's Banner" by Mrmw is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/4/48/Traitor%27s_Banner.svg"
63b37357-943f-4839-bf42-37a90d8fd12f	Generic Swiss Guard banner	Skukifish	CC-BY 4.0	illustration	wikimedia	svg	banner	"Generic Swiss Guard banner" by Skukifish is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/1/18/Generic_Swiss_Guard_banner.svg"
75e47d14-66c6-4390-b85a-2b03b693e8e2	Dragon from Chinese Dragon Banner Red Version	Tsange	CC0	illustration	wikimedia	svg	banner	"Dragon from Chinese Dragon Banner Red Version" by Tsange is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/0/04/Dragon_from_Chinese_Dragon_Banner_Red_Version.svg"
9dd9da3d-5ee3-4eae-ae64-a6260a3c6698	Banner of Vilnius Voivodeship (1609-1618)-2	Лобачев Владимир	CC0	illustration	wikimedia	svg	banner	"Banner of Vilnius Voivodeship (1609-1618)-2" by Лобачев Владимир is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/6/69/Banner_of_Vilnius_Voivodeship_%281609-1618%29-2.svg"
88b07027-0d1d-407a-a8c3-0ea2ae8efc07	Banner of the Dido people (19th century)	Liptink0	CC0	illustration	wikimedia	svg	banner	"Banner of the Dido people (19th century)" by Liptink0 is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/5/59/Banner_of_the_Dido_people_%2819th_century%29.svg"
69d0c8f6-5b41-41c3-b663-fb35a2fa8f6e	Wikimania 2022 Banner Illustration	Ben Hickey and Mariana Garcia	CC0	illustration	wikimedia	svg	banner	"Wikimania 2022 Banner Illustration" by Ben Hickey and Mariana Garcia is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/4/40/Wikimania_2022_Banner_Illustration.svg"
a0c6b1b2-dd1f-4ed2-9353-04c277335aa9	Principality of Muzaka banner of arms	Hakuli	CC-BY 4.0	illustration	wikimedia	svg	banner	"Principality of Muzaka banner of arms" by Hakuli is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/7/7b/Principality_of_Muzaka_banner_of_arms.svg"
76db8bac-7124-4928-aa5c-7565dd1295ec	Banner of Duchy of Samogitia (1609-1618)-2	Лобачев Владимир	CC0	illustration	wikimedia	svg	banner	"Banner of Duchy of Samogitia (1609-1618)-2" by Лобачев Владимир is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/1/1a/Banner_of_Duchy_of_Samogitia_%281609-1618%29-2.svg"
adc467f9-faa6-4af9-aeac-1679e5d926c4	Banner of Cilli (1)	SirFranzPaul	CC0	illustration	wikimedia	svg	banner	"Banner of Cilli (1)" by SirFranzPaul is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/b/be/Banner_of_Cilli_%281%29.svg"
