goi	ten	tac_gia	license	dinh_dang	cach_lay
watercraft-kit	Watercraft Kit	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs watercraft-kit  (o repo quoc-chien)
space-station-kit	Space Station Kit	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs space-station-kit  (o repo quoc-chien)
survival-kit	Survival Kit	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs survival-kit  (o repo quoc-chien)
castle-kit	Castle Kit	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs castle-kit  (o repo quoc-chien)
googly-eyes	Googly Eyes	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs googly-eyes  (o repo quoc-chien)
mini-arena	Mini Arena	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs mini-arena  (o repo quoc-chien)
mini-skate	Mini Skate	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs mini-skate  (o repo quoc-chien)
yellow-paint-pack	Yellow Paint Pack	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs yellow-paint-pack  (o repo quoc-chien)
modular-buildings	Modular Buildings	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs modular-buildings  (o repo quoc-chien)
input-prompts-pixel-1-bit	Input Prompts Pixel 1-Bit	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs input-prompts-pixel-1-bit  (o repo quoc-chien)
hexagon-kit	Hexagon Kit	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs hexagon-kit  (o repo quoc-chien)
rune-pack	Rune Pack	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs rune-pack  (o repo quoc-chien)
fantasy-ui-borders	Fantasy UI Borders	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs fantasy-ui-borders  (o repo quoc-chien)
monochrome-pirates	Monochrome Pirates	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs monochrome-pirates  (o repo quoc-chien)
shape-characters	Shape Characters	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs shape-characters  (o repo quoc-chien)
pixel-platformer	Pixel Platformer	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs pixel-platformer  (o repo quoc-chien)
pixel-platformer-food-expansion	Pixel Platformer Food Expansion	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs pixel-platformer-food-expansion  (o repo quoc-chien)
pico-8-city	Pico-8 City	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs pico-8-city  (o repo quoc-chien)
tiny-battle	Tiny Battle	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs tiny-battle  (o repo quoc-chien)
isometric-miniature-bases	Isometric Miniature Bases	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs isometric-miniature-bases  (o repo quoc-chien)
tiny-ski	Tiny Ski	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs tiny-ski  (o repo quoc-chien)
pixel-platformer-industrial-expansion	Pixel Platformer Industrial Expansion	Kenney	CC0 1.0	obj,fbx,gltf,png	node tools/tai_asset.mjs pixel-platformer-industrial-expansion  (o repo quoc-chien)
