id	ten	tac_gia	license	so_tam	dinh_dang	tag	cach_lay
jFBoxLuAXY	House	Isa Lousberg	CC0 1.0	0	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
dDZnz-9SYml	Base	Poly by Google	CC-BY 3.0	1364	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
dtVrmnnCZn	Town House	Quaternius	CC0 1.0	4802	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5SRWWIgWCdu	Concept Home	Yogoshimo 2.0	CC-BY 3.0	1354	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
9LX85EUHmX	House	burunduk	CC-BY 3.0	0	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
gAIES4rNfE	House	Kenney	CC0 1.0	298	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
fdaqERLQCc	House	Pixel	CC-BY 3.0	2128	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
0iZUVSQOLMR	house 1	Tiff Eidmann	CC-BY 3.0	990	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
md92wqkDqS	Two story house	Kenney	CC0 1.0	776	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
1lophr3mjhg	House	Jordan Diamante (djiordhan)	CC-BY 3.0	3280	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
PB5Cd3dL24	Structure	Quaternius	CC0 1.0	3364	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
iuMDwgTRMU	Tower	Quaternius	CC0 1.0	1898	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
9jli-2CSYS-	Tower	Anonymous	CC-BY 3.0	25601	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
sbaM8I229r	Guard Tower	Quaternius	CC0 1.0	344	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
eWEYV9ppUjv	Radio tower	Poly by Google	CC-BY 3.0	1326	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
ux44tbeQvj	Bell Tower	Quaternius	CC0 1.0	10120	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
d1zYJG7rJGY	Radio tower	Poly by Google	CC-BY 3.0	1692	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
Rz4U5dZJz8	Stone Tower	Quaternius	CC0 1.0	3176	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
cMxuj2gt7D	Watch Tower	Quaternius	CC0 1.0	3128	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
fFiFJ3hdY06	Wizard Tower	Nick Slough	CC-BY 3.0	13633	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
7ZiHr3enyWJ	Castle Tower	sirkitree	CC-BY 3.0	9054	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
TYK3rPu7E5	Transmission Tower	iPoly3D	CC0 1.0	5743	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
aIpJchqtRTg	SM - EIffel Tower	Scott Marshall	CC-BY 3.0	56999	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5lvG0WtuTU	Tower	Kenney	CC0 1.0	683	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
0TfSw65gU2G	Castle	jeremy	CC-BY 3.0	2488	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
VJZZW37Vsk	Watch Tower	Quaternius	CC0 1.0	1256	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
dJLAD6p90F	Stone Tower	Quaternius	CC0 1.0	3564	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
1_PM9UWLgAb	Scaffolding	Marisha	CC-BY 3.0	304	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
NcMARBzYKG	Skyscraper	burunduk	CC-BY 3.0	0	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
1zS7ucaAd4J	Pagoda	Poly by Google	CC-BY 3.0	2362	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
9JYqZyTiVkU	Water Tower	Alex Safayan	CC-BY 3.0	698	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
0MmIbleQag8	Tower of babel	Thomas de Rivaz	CC-BY 3.0	17682	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
0t2ZYRBsqX-	Lighthouse	Poly by Google	CC-BY 3.0	3432	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
CygapExMf5	Small Watch Tower	Quaternius	CC0 1.0	588	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
52yaPyaAAG	Tower Windmill	Quaternius	CC0 1.0	4464	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
bk72ChfpGo-	Lighthouse	Poly by Google	CC-BY 3.0	555	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5c41ysnNFio	Radio tower	Poly by Google	CC-BY 3.0	736	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
dmP1nRE_2GM	castle 1234	felix stief	CC-BY 3.0	67754	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
f2J0aSLVi4	Watch Tower	Quaternius	CC0 1.0	656	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
9NUK252uLAV	basic castle tower	felix stief	CC-BY 3.0	1024	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
Xfb0lAPvnh	Transmission Tower	iPoly3D	CC0 1.0	2504	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
44JZ7nNNy_x	Radio tower	Poly by Google	CC-BY 3.0	230	glb	tower	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
6BGhNQlUzRR	Bakery	Poly by Google	CC-BY 3.0	1624	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
96HQXGhe693	Little Shop	Jakers_H	CC-BY 3.0	42704	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5qD-9AvW0eh	Shop	Shaun Glowa	CC-BY 3.0	9829	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
3nle0xL2QDP	Shop	Ev Amitay	CC-BY 3.0	1748	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
FDG8rFhvv7	Coffee Shop	majesticmaje	CC-BY 3.0	14273	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
jSqGy8V0MQ	Market Stalls	Quaternius	CC0 1.0	3896	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
l7bDe7ak6j	Cart	Quaternius	CC0 1.0	2659	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
PrOdJaBrOu	Black Smith Shop	Zsky	CC-BY 3.0	4196	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
4lhRcMbl1pw	Shopping cart	Poly by Google	CC-BY 3.0	2868	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
BvRLKgGwc6	Donut Store	J-Toastie	CC-BY 3.0	3346	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5w9AIhTCLMS	Shop 01	sugamo	CC-BY 3.0	6488	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
d9J1yq_vg5X	Bakery	Poly by Google	CC-BY 3.0	9004	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
fmHUuX9AS3	Market Stalls Compact	Quaternius	CC0 1.0	14164	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
8sfezIjI4KE	The Corner Store	VR XRTIST	CC-BY 3.0	58956	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
EL3ePInr1N	Building	Kay Lousberg	CC0 1.0	828	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
4T-7WqpBeiK	retail stores	Shastho Joy	CC-BY 3.0	8372	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
1d-_8bnyobk	Shop 02	sugamo	CC-BY 3.0	1966	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
3UkBPfkJwu6	Coffee Shop	Alex Safayan	CC-BY 3.0	2598	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
4ZAhRv2tLG	Market Stalls	Quaternius	CC0 1.0	4864	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
LkNRqxdCKp	Market Scene	Quaternius	CC0 1.0	28818	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
OLd8vu6lPL	Market Stalls	Quaternius	CC0 1.0	8396	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
tWJBgjK0mU	Wizard Shop	Zsky	CC-BY 3.0	2436	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
PUZZ5F91OE	Market Stalls	Quaternius	CC0 1.0	0	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
wLLO1TC0hy	Bakery	Zsky	CC-BY 3.0	4120	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
9jPIbDSGCmJ	Liquor Shelf	VR XRTIST	CC-BY 3.0	0	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
0REJqMlmSW	Shelf Small	Quaternius	CC0 1.0	132	glb	shop	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
2pA966ztJJX	Castle Kit	Kenney	CC0 1.0	4836	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
4360GdbxRe	Castle	CreativeTrio	CC0 1.0	13860	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
aG0AF5d-zbY	Castle	Poly by Google	CC-BY 3.0	4550	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
opTOmcN3o9	Castle	Quaternius	CC0 1.0	7050	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
ge5Re3P9Ke	Fantasy Castle Prototype	burunduk	CC-BY 3.0	96	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
f5wb0x6Qk3j	Palace	Poly by Google	CC-BY 3.0	6472	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
AhhyXvO6Fd	Modular Castle Kit	Quaternius	CC0 1.0	0	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
