id	ten	tac_gia	license	so_tam	dinh_dang	tag
fn_nf1L1UFo	G mech	Dave404	CREATIVE_COMMONS_BY 3.0	4448	GLTF2,BLOCKS,OBJ,USDZ,FBX,GLB,GLTF1	curated,tech
ecMjA5FQHGV	#BotsWithBlocks mech	Tekano Bob	CREATIVE_COMMONS_BY 3.0	56112	GLTF2,USDZ,BLOCKS,GLTF1,GLB	blocks,BotsWithBlocks,curated,gamedev,tech,VR
f6rhTjPPr-M	Tiny Mech (Chris Ross Remix)	Vladimir Ilic	CREATIVE_COMMONS_BY 3.0	36690	GLTF2,USDZ,BLOCKS,GLB,GLTF1	curated,tech
dhWLm5s0y0Y	Simple Mecha	Roland Kerr	CREATIVE_COMMONS_BY 3.0	9418	GLTF2,USDZ,BLOCKS,GLB,GLTF1	curated
ecuUeb44Epo	Mechanic leg	Vas Pupin	CREATIVE_COMMONS_BY 3.0	18544	GLTF2,GLTF1,USDZ,FBX,BLOCKS,OBJ,GLB	curated,tech
fHalccv7ORh	MS Gundam RX-78-2 with weapons	Tipatat Chennavasin	CREATIVE_COMMONS_BY 3.0	7113	GLTF2,GLTF1,FBX,BLOCKS,USDZ,OBJ,GLB	anime,curated,people,robot
68unrtIOrFi	Adobe Max Mega Kit	3Donimus	CREATIVE_COMMONS_BY 3.0	68268	GLTF2,OBJ,GLTF1,USDZ,BLOCKS,FBX,GLB	art,curated
fdMDAqBR7SU	Spinosaurobot	Hoai Nguyen	CREATIVE_COMMONS_BY 3.0	59316	GLTF2,GLTF1,BLOCKS,USDZ,GLB	blocks,BotsWithBlocks,curated,DinoBlocks,tech
f4yG5DS2OOf	SD Macross VT-1 Superostrich	Tipatat Chennavasin	CREATIVE_COMMONS_BY 3.0	6774	GLTF2,USDZ,BLOCKS,GLB,GLTF1	anime,curated,tech
e1ofImTZgn9	DIY Doublegoose	Marisha	CREATIVE_COMMONS_BY 3.0	7918	GLTF2,USDZ,BLOCKS,GLTF1,GLB	curated,people
tJ5hdTNO8ns	(kinda bad) low poly slendertubby cast	newt	CC0	29786	BLOCKS,OBJ	
4TiygJ0K0P8	model	londonguy2026	CREATIVE_COMMONS_BY 4.0	9048	BLOCKS,OBJ	
vbyBYN0Talg	furry base	Crafty_fox	CC0	8238	BLOCKS,OBJ	
5RbtrFtbJkI	media	JuliusPord	CREATIVE_COMMONS_BY 4.0	0	GLTF2	
FSj-feYgZv0	mediatheque	JuliusPord	CC0	0	GLTF2	
baClIPVJAMg	Retry now Miku's staff	Seafar_YT	CREATIVE_COMMONS_BY 4.0	1850	BLOCKS,OBJ	
SrDbiO9Fp30	Crashed Spaceship	Alec	CREATIVE_COMMONS_BY 4.0	25580	BLOCKS,OBJ	
xXws9jTRoTM	model	Alec	CREATIVE_COMMONS_BY 4.0	81486	BLOCKS,OBJ	
Q0y1pj1-pLY	Spaceship crashed through research station	Alec	CREATIVE_COMMONS_BY 4.0	81506	BLOCKS,OBJ	
cW2uPa-Ras5	HTC Vive controller	Marco Romero	CREATIVE_COMMONS_BY 3.0	43497	GLTF1,GLTF2,USDZ,GLB	3D,3Dmodel,Computer,controller,curated,Device,Electronic,Hardware,HTC,RealTime,tech,VirtualReality,Vive,VR
rRW8U9tNo-0	Friday Fish	inkibit	CREATIVE_COMMONS_BY 4.0	984	BLOCKS,OBJ	
eZMcxLOjZK_	meditiation	Nicholas Juister	CREATIVE_COMMONS_BY 3.0	588416	GLTF2,USDZ,GLTF1,GLB	curated
2aYRI8_L9v4	1428 Elm St.....	lovedoll	CREATIVE_COMMONS_BY 3.0	25316	USDZ,GLTF2,GLTF1,GLB	architecture,curated
