duong_dan	ten	tac_gia	license	loai	cach_lay
/content/ph64-pixel-pack-100s-of-sideview-assets	pH64 Pixel Pack - 100s of Sideview Assets	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/ph64-pixel-pack-100s-of-sideview-assets roi tai tay
/content/8x8-tileset-by-soundlust	8x8 Tileset by Soundlust	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/8x8-tileset-by-soundlust roi tai tay
/content/a-load-of-overworld-34-rpg-sprites	A load of overworld 3/4 RPG sprites	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/a-load-of-overworld-34-rpg-sprites roi tai tay
/content/platformer-pickups-pack	Platformer Pickups Pack	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/platformer-pickups-pack roi tai tay
/content/twelve-more-characters-3-free-characters-and-a-child-template	Twelve more characters + 3 free characters and a child template.	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/twelve-more-characters-3-free-characters-and-a-child-template roi tai tay
/content/zombie-ui-pack	Zombie UI pack	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/zombie-ui-pack roi tai tay
/content/animated-slime	Animated Slime	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/animated-slime roi tai tay
/content/tiny-pixeled-platform-astronaut	tiny pixeled platform astronaut	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/tiny-pixeled-platform-astronaut roi tai tay
/content/10-more-fantasy-rpg-enemies-plus-a-boss	10 More Fantasy RPG enemies (plus a boss)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/10-more-fantasy-rpg-enemies-plus-a-boss roi tai tay
/content/32x32-fantasy-portrait-set	32x32 Fantasy portrait set	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/32x32-fantasy-portrait-set roi tai tay
/content/lpc-sara	[LPC] Sara	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-sara roi tai tay
/content/opp2017-jungle-and-temple-set	OPP2017 - Jungle and temple set	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/opp2017-jungle-and-temple-set roi tai tay
/content/sunset-temple-tiles	Sunset Temple Tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/sunset-temple-tiles roi tai tay
/content/16xx16-tileset-pokemonzelda-styled	16xx16 Tileset (Pokemon/Zelda style:D)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/16xx16-tileset-pokemonzelda-styled roi tai tay
/content/keyboard-keys	Keyboard Keys	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/keyboard-keys roi tai tay
/content/retro-spaceships	Retro spaceships	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/retro-spaceships roi tai tay
/content/16x16-pixel-art-dungeon-wall-and-cobblestone-floor-tiles	16x16 pixel art dungeon wall and cobblestone floor tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/16x16-pixel-art-dungeon-wall-and-cobblestone-floor-tiles roi tai tay
/content/smoke-fire-animated-particle-16x16	Smoke & Fire Animated Particle [16x16]	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/smoke-fire-animated-particle-16x16 roi tai tay
/content/bomb-party-the-complete-set	Bomb Party - the complete set	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/bomb-party-the-complete-set roi tai tay
/content/rat-men-rpg-enemies	Rat men, RPG Enemies	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/rat-men-rpg-enemies roi tai tay
/content/food-items-from-crosstown-smash	Food items from Crosstown Smash	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/food-items-from-crosstown-smash roi tai tay
/content/consolidated-hard-vacuum-terrain-tilesets	Consolidated Hard Vacuum Terrain Tilesets	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/consolidated-hard-vacuum-terrain-tilesets roi tai tay
/content/lpc-arabic-elements	[LPC] Arabic Elements	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-arabic-elements roi tai tay
/content/opp2017-sprites-characters-objects-effects	OPP2017 - Sprites, characters, objects, effects	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/opp2017-sprites-characters-objects-effects roi tai tay
/content/buildings-bunkers-weapon-platforms	Buildings / Bunkers / Weapon platforms	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/buildings-bunkers-weapon-platforms roi tai tay
/content/animated-snake	Animated Snake	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/animated-snake roi tai tay
/content/cute-platformer-sisters	Cute Platformer Sisters	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/cute-platformer-sisters roi tai tay
/content/twelve-more-16x18-rpg-character-sprites	Twelve more 16x18 RPG character sprites	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/twelve-more-16x18-rpg-character-sprites roi tai tay
